author,local_guide_info,rating,review,date,price,food,service,atmosphere,recommendations,text_backup
F. Javier de la Calle,Local Guide · 28 reseñas · 65 fotos,4 estrellas,"Servicio muy atento y correcto, a las consumiciones las acompañan unas raciones excelentes",Hace 4 meses,1-10 €,4,4,4,,"F. Javier de la Calle
Local Guide · 28 reseñas · 65 fotos






Hace 4 meses
Servicio muy atento y correcto, a las consumiciones las acompañan unas raciones excelentes
Precio por persona
1-10 €
Comida: 4
Servicio: 4
Ambiente: 4

Me gusta

Compartir"
Daida Sánchez Santana,9 reseñas,1 estrella,"Que sitio más malo de verdad!! El trato pésimo ,abren el local a la hora que quieren  !!! Las tapas malísimas !!!! Señores hay mejores sitios en Madrid esto no mola nada",Hace 3 meses,,,,,,"Daida Sánchez Santana
9 reseñas






Hace 3 meses
Que sitio más malo de verdad!! El trato pésimo ,abren el local a la hora que quieren  !!! Las tapas malísimas !!!! Señores hay mejores sitios en Madrid esto no mola nada

Me gusta

Compartir"
PaL De Maíz,Local Guide · 148 reseñas · 557 fotos,5 estrellas,"Con una cerveza sales comido, pues se acompaña de grandes aperitivos (paella, patatas, hamburguesas...)",Hace 2 años,,,,,,"PaL De Maíz
Local Guide · 148 reseñas · 557 fotos






Hace 2 años
Con una cerveza sales comido, pues se acompaña de grandes aperitivos (paella, patatas, hamburguesas...)

Me gusta

Compartir"
JOSE ALBERTO BALLESTEROS LOPEZ-TELLO,Local Guide · 68 reseñas · 44 fotos,5 estrellas,"Uno de los bares más baratos de Madrid
El problema es que la terraza siempre está llena",Hace un mes,1-10 €,4,5,5,Patatas Bravas O Alioli,"JOSE ALBERTO BALLESTEROS LOPEZ-TELLO
Local Guide · 68 reseñas · 44 fotos






Hace un mes
Uno de los bares más baratos de Madrid
El problema es que la terraza siempre está llena
Precio por persona
1-10 €
Comida: 4
Servicio: 5
Ambiente: 5
Platos recomendados
Patatas Bravas O Alioli

Me gusta

Compartir"
Juan Escobar,3 reseñas,2 estrellas,"Buena comida pero la atención al cliente es pésima tanto con el turista como con el local, en 3 horas gritaron a 10 usuarios. Viven aburridos y disgustados con su trabajo, usan mucho la frase “ quieren hacer lo mismo q en su país” y eso q hablaban inglés. Todo mal la verdad.",Hace 6 meses,1-10 €,5,1,2,,"Juan Escobar
3 reseñas






Hace 6 meses
Buena comida pero la atención al cliente es pésima tanto con el turista como con el local, en 3 horas gritaron a 10 usuarios. Viven aburridos y disgustados con su trabajo, usan mucho la frase “ quieren hacer lo mismo q en su país” y eso q hablaban inglés. Todo mal la verdad.
Precio por persona
1-10 €
Comida: 5
Servicio: 1
Ambiente: 2

Me gusta

Compartir"
ILP,Local Guide · 231 reseñas · 674 fotos,4 estrellas,"Sitio para tomarte unas cervezas y cenar con las generosas tapas que te ponen con las mismas.
No es de calidad, pero sí tienen bastante cantidad.",Hace 6 meses,1-10 €,3,4,5,Tapas Y Dobles de Cerveza,"ILP
Local Guide · 231 reseñas · 674 fotos






Hace 6 meses
Sitio para tomarte unas cervezas y cenar con las generosas tapas que te ponen con las mismas.
No es de calidad, pero sí tienen bastante cantidad.
Precio por persona
1-10 €
Comida: 3
Servicio: 4
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

Me gusta

Compartir"
Daniel Acosta,Local Guide · 83 reseñas · 98 fotos,5 estrellas,"Las consumiciones no son caras y con ellas te ponen una tapa enorme siempre (sandwich mixto, croquetas, ración de patatas bravas, etc). Con 2 rondas ya te vas cenado. Muy recomendable. En horas puntas está petado y casi no hay sitio",Hace un año,1-10 €,5,5,5,Tapas Y Dobles de Cerveza y Patatas Bravas O Alioli,"Daniel Acosta
Local Guide · 83 reseñas · 98 fotos






Hace un año
Las consumiciones no son caras y con ellas te ponen una tapa enorme siempre (sandwich mixto, croquetas, ración de patatas bravas, etc). Con 2 rondas ya te vas cenado. Muy recomendable. En horas puntas está petado y casi no hay sitio
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza y Patatas Bravas O Alioli

3

Compartir"
Angelines Labiaga,13 reseñas · 21 fotos,1 estrella,El personal del local son sumamente groseros y apáticos. Tratan a sus clientes horrible y les gritan. Pasamos muy mal tratos por su parte. El lugar es bueno si quieres gastar poco y comer mal y mucho.,Hace 5 meses,,1,1,1,,"Angelines Labiaga
13 reseñas · 21 fotos






Hace 5 meses
El personal del local son sumamente groseros y apáticos. Tratan a sus clientes horrible y les gritan. Pasamos muy mal tratos por su parte. El lugar es bueno si quieres gastar poco y comer mal y mucho.
Comida: 1
Servicio: 1
Ambiente: 1

Me gusta

Compartir"
Carol Gomez,Local Guide · 168 reseñas · 4 fotos,4 estrellas,Sitio para tomar unas cañas g con aperitivo abundante. Precios muy buenos. En verano con una terraza,Hace 6 meses,,4,4,4,,"Carol Gomez
Local Guide · 168 reseñas · 4 fotos






Hace 6 meses
Sitio para tomar unas cañas g con aperitivo abundante. Precios muy buenos. En verano con una terraza
Comida: 4
Servicio: 4
Ambiente: 4

Me gusta

Compartir"
María Ch C,Local Guide · 20 reseñas · 3 fotos,1 estrella,"Local pequeño, lleno incluso un martes por la tarde y sin sitio para sentarse, ni dentro ni en terraza.

Súper desagradable el trato por parte del camarero, al que tuvimos incluso que contestar debido a lo borde que estaba siendo.

Una vez ubicadas y con nuestras cañas, el ambiente es agradable y sacan tapas abundantes. Si embargo, tuvimos que estar todo el rato de pie, lo cual al cabo de un rato se hace bastante incómodo.

El método para limpiar la mesa es recoger todos los vasos y platos y pasar el trapo para tirar todas las servilletas y migas al suelo, opinen ustedes mismos.",Hace un año,,,,,,"María Ch C
Local Guide · 20 reseñas · 3 fotos






Hace un año
Local pequeño, lleno incluso un martes por la tarde y sin sitio para sentarse, ni dentro ni en terraza.

Súper desagradable el trato por parte del camarero, al que tuvimos incluso que contestar debido a lo borde que estaba siendo.

Una vez ubicadas y con nuestras cañas, el ambiente es agradable y sacan tapas abundantes. Si embargo, tuvimos que estar todo el rato de pie, lo cual al cabo de un rato se hace bastante incómodo.

El método para limpiar la mesa es recoger todos los vasos y platos y pasar el trapo para tirar todas las servilletas y migas al suelo, opinen ustedes mismos.
Comida vegetariana
Totalmente nula. Además el camarero se mostró muy borde al preguntarle si podía sacarnos solo unas patatas en vez de cualquier otra tapa que no pudiera tomar nuestra amiga vegana.

4

Compartir"
Carmen Garcia,Local Guide · 13 reseñas · 7 fotos,5 estrellas,"Hemos venido por recomendación y ha superado nuestras expectativas (que precisamente bajas no estaban). Nos ha encantado la cerveza, la súper tapa y ademas nos han tratado genial. Mil gracias equipo!",Hace 7 meses,,5,5,5,,"Carmen Garcia
Local Guide · 13 reseñas · 7 fotos






Hace 7 meses
Hemos venido por recomendación y ha superado nuestras expectativas (que precisamente bajas no estaban). Nos ha encantado la cerveza, la súper tapa y ademas nos han tratado genial. Mil gracias equipo!
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Paula Viroomal,3 reseñas,1 estrella,Estabamos en la terraza y han venido unos amigos por lo que decidimos juntar las mesas. El camarero joven acto seguido ha salido y ha separado violentamente la mesa sin siquiera avisar de nada. Habia un cartel en la pared externa del bar pero no lo hemos visto. Por otro lado ha dicho 'A las 23:30 cierramos y os largais' de mala maneras. Asqueroso.,Hace 9 meses,,1,1,1,,"Paula Viroomal
3 reseñas






Hace 9 meses
Estabamos en la terraza y han venido unos amigos por lo que decidimos juntar las mesas. El camarero joven acto seguido ha salido y ha separado violentamente la mesa sin siquiera avisar de nada. Habia un cartel en la pared externa del bar pero no lo hemos visto. Por otro lado ha dicho 'A las 23:30 cierramos y os largais' de mala maneras. Asqueroso.
Comida: 1
Servicio: 1
Ambiente: 1

Me gusta

Compartir"
J. Álvaro JA,Local Guide · 80 reseñas · 7 fotos,3 estrellas,"Cervecería de toda la vida, lo peculiar es que te ponen aperitivos grandes. Pedí unas calas y pusieron bravas, croquetas y sándwich mixto, aunque no de mucha calidad pero por el precio merece la pena.",Hace 8 meses,1-10 €,3,4,3,Tapas Y Dobles de Cerveza y Apertivo,"J. Álvaro JA
Local Guide · 80 reseñas · 7 fotos






Hace 8 meses
Cervecería de toda la vida, lo peculiar es que te ponen aperitivos grandes. Pedí unas calas y pusieron bravas, croquetas y sándwich mixto, aunque no de mucha calidad pero por el precio merece la pena.
Precio por persona
1-10 €
Comida: 3
Servicio: 4
Ambiente: 3
Platos recomendados
Tapas Y Dobles de Cerveza y Apertivo

Me gusta

Compartir"
Jorge Navarro Villar,Local Guide · 350 reseñas · 303 fotos,4 estrellas,"Épico, hemos ido a tomar un par de cañas de tardeo y hemos salido comidos, unas raciones enormes 10/10",Hace 4 meses,1-10 €,3,5,4,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Croquetas de Jamon Y Queso","Jorge Navarro Villar
Local Guide · 350 reseñas · 303 fotos






Hace 4 meses
Épico, hemos ido a tomar un par de cañas de tardeo y hemos salido comidos, unas raciones enormes 10/10
Precio por persona
1-10 €
Comida: 3
Servicio: 5
Ambiente: 4
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Croquetas de Jamon Y Queso

Me gusta

Compartir"
Bruna Fernanda Silva de Sousa,8 reseñas · 2 fotos,1 estrella,"Peor bar de mi vida. Estuve viernes pasado, dia 15 de dic de 2023 con unos amigos. Comi las tapas que nos pusieron, tortilla con pan, pasta con chorizos y empanadillas y que quede claro, solo comi eso durante mi noche, con mis amigos y fuimos 3 personas que nos quedamos con una infección alimentar que flipas. La suerte de este bar es que no fui al hospital para tener el justificante. Porque seguramente hubiese puesto una denuncia seguro. He intentado llamar al restaurante para hablar y fue imposible no hay en ningún sitio el teléfono (habian algunos y no son del sitio). Solo me resta avisar aquí a los clientes el peligro que ha sido irme a este sitio, primera y última. Espero de verdad desde la administración que tengáis mas responsabilidad con los clientes.",Hace 9 meses,,,,1,,"Bruna Fernanda Silva de Sousa
8 reseñas · 2 fotos






Hace 9 meses
Peor bar de mi vida. Estuve viernes pasado, dia 15 de dic de 2023 con unos amigos. Comi las tapas que nos pusieron, tortilla con pan, pasta con chorizos y empanadillas y que quede claro, solo comi eso durante mi noche, con mis amigos y fuimos 3 personas que nos quedamos con una infección alimentar que flipas. La suerte de este bar es que no fui al hospital para tener el justificante. Porque seguramente hubiese puesto una denuncia seguro. He intentado llamar al restaurante para hablar y fue imposible no hay en ningún sitio el teléfono (habian algunos y no son del sitio). Solo me resta avisar aquí a los clientes el peligro que ha sido irme a este sitio, primera y última. Espero de verdad desde la administración que tengáis mas responsabilidad con los clientes.
Ambiente: 1

Me gusta

Compartir"
crishny3,Local Guide · 71 reseñas · 1 foto,5 estrellas,Para unas cañas en la terraza con buen tiempo es maravilloso se está agusto siempre hay gente joven y ponen muchas tapas,Hace 6 meses,,5,5,5,Tapas Y Dobles de Cerveza,"crishny3
Local Guide · 71 reseñas · 1 foto






Hace 6 meses
Para unas cañas en la terraza con buen tiempo es maravilloso se está agusto siempre hay gente joven y ponen muchas tapas
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

1

Compartir"
Iván Arellano,Local Guide · 21 reseñas · 1 foto,5 estrellas,"Bar imprescindible para visitar al menos una vez , Cerveza Ámbar y pincho espectacular, Jose lo mismo te pone un pincho que una caña, lugar super agradable.",Hace 6 meses,1-10 €,5,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella","Iván Arellano
Local Guide · 21 reseñas · 1 foto






Hace 6 meses
Bar imprescindible para visitar al menos una vez , Cerveza Ámbar y pincho espectacular, Jose lo mismo te pone un pincho que una caña, lugar super agradable.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella

Me gusta

Compartir"
Luz Adriana Narváez Quintero,Local Guide · 42 reseñas · 22 fotos,4 estrellas,"Es un buen bar, pero había tanta gente que el camarero gritó fuertemente para que todo el mundo saliera e hiciera la cola hacia la calle, fue bastante incómodo como servicio",Hace 6 meses,1-10 €,4,1,2,,"Luz Adriana Narváez Quintero
Local Guide · 42 reseñas · 22 fotos






Hace 6 meses
Es un buen bar, pero había tanta gente que el camarero gritó fuertemente para que todo el mundo saliera e hiciera la cola hacia la calle, fue bastante incómodo como servicio
Precio por persona
1-10 €
Comida: 4
Servicio: 1
Ambiente: 2

Me gusta

Compartir"
Carla Menéndez,Local Guide · 50 reseñas · 23 fotos,4 estrellas,"El Sierra es uno de los bares más conocidos de la zona por la abundancia de sus tapas. Hay que estar atento porque enseguida se llena y te quedas sin sitio. No lo recomiendo para grupos demasiado grandes. Trato muy amable por parte de los dueños y del camarero, raciones abundantes y cerveza fría a precios razonables. Es perfecto para estudiantes.",Hace un año,1-10 €,4,4,4,Tapas Y Dobles de Cerveza,"Carla Menéndez
Local Guide · 50 reseñas · 23 fotos






Hace un año
El Sierra es uno de los bares más conocidos de la zona por la abundancia de sus tapas. Hay que estar atento porque enseguida se llena y te quedas sin sitio. No lo recomiendo para grupos demasiado grandes. Trato muy amable por parte de los dueños y del camarero, raciones abundantes y cerveza fría a precios razonables. Es perfecto para estudiantes.
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
1-10 €
Comida: 4
Servicio: 4
Ambiente: 4
Platos recomendados
Tapas Y Dobles de Cerveza

Me gusta

Compartir"
Victor Uceda,Local Guide · 40 reseñas · 3 fotos,5 estrellas,"Bar con personalidad. Por una cerveza directamente te vas comido a casa ya que ponen tapas muy generosas como bravas, croquetas, alitas, mini hamburguesas...
Muy recomendable aunque es difícil pillar sitio.",Hace 3 años,,,,,,"Victor Uceda
Local Guide · 40 reseñas · 3 fotos






Hace 3 años
Bar con personalidad. Por una cerveza directamente te vas comido a casa ya que ponen tapas muy generosas como bravas, croquetas, alitas, mini hamburguesas...
Muy recomendable aunque es difícil pillar sitio.

1

Compartir"
Juan Carlos Borges Carballido,Local Guide · 30 reseñas · 17 fotos,5 estrellas,"Es la primera vez que vamos lo hemos comido por tik tok como creo que muchos hoy en día, .. ha sido una muy buena experiencia. La bebida es lo que informan .. precios bajos y buena cerveza. Mi pareja bebe cerveza sin alcohol con limón y se la prepararon genial a si gusto .. las dos tapas que pedimos excelentes .. y echamos un ojo a la carta en general y vamos a repetir varias veces seguro .. nuestra misión ...!? Probar toda la carta jajjajaa .. escelente trato del personal y sobre todo de la persona que estaba en caja esta tarde. Agradable y simpatía... Recomendable 100x100.",Hace un año,,,,,,"Juan Carlos Borges Carballido
Local Guide · 30 reseñas · 17 fotos






Hace un año
Es la primera vez que vamos lo hemos comido por tik tok como creo que muchos hoy en día, .. ha sido una muy buena experiencia. La bebida es lo que informan .. precios bajos y buena cerveza. Mi pareja bebe cerveza sin alcohol con limón y se la prepararon genial a si gusto .. las dos tapas que pedimos excelentes .. y echamos un ojo a la carta en general y vamos a repetir varias veces seguro .. nuestra misión ...!? Probar toda la carta jajjajaa .. escelente trato del personal y sobre todo de la persona que estaba en caja esta tarde. Agradable y simpatía... Recomendable 100x100.

1

Compartir"
Itsaso Hermosilla,6 reseñas,5 estrellas,"Muy recomendable!!! Por  3,7€ una doble, y  3,2€ un refresco nos dieron un buen plato de macarraones, un par de croquetas y tapa con tortilla patatas y queso, quedé sorprendida vuelvo seguro!!",Hace 10 meses,,5,5,5,,"Itsaso Hermosilla
6 reseñas






Hace 10 meses
Muy recomendable!!! Por  3,7€ una doble, y  3,2€ un refresco nos dieron un buen plato de macarraones, un par de croquetas y tapa con tortilla patatas y queso, quedé sorprendida vuelvo seguro!!
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Eva Akasha,7 reseñas · 1 foto,5 estrellas,De lo mejorcito de Moncloa para ir de cañas. Dos consumiciones y sales cenado. Trato muy agradable. Visita imprescindible antes de ir a los bajos.,Hace 6 meses,1-10 €,5,5,5,,"Eva Akasha
7 reseñas · 1 foto






Hace 6 meses
De lo mejorcito de Moncloa para ir de cañas. Dos consumiciones y sales cenado. Trato muy agradable. Visita imprescindible antes de ir a los bajos.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
lauravenaperez,15 reseñas,1 estrella,"Llegamos a las 19:30 pensando que esta abierto (en google ponía el horario). Cuando llegamos la puerta estaba entreabierta así que nos sentamos en la terraza a esperar a que abrieran. Al rato salió el camarero diciéndonos (de muy malas formas) que nos fuéramos, que había muchos bares, que le dejáramos de estrés que estábamos siendo pesadas porque estaban cerrando. Nos recalcaba que no tenia puesto el bar en google y que no sabía nada de un horario... Muy maleducado, no volveremos ni lo recomendaremos.",Hace 11 meses,,1,1,1,,"lauravenaperez
15 reseñas






Hace 11 meses
Llegamos a las 19:30 pensando que esta abierto (en google ponía el horario). Cuando llegamos la puerta estaba entreabierta así que nos sentamos en la terraza a esperar a que abrieran. Al rato salió el camarero diciéndonos (de muy malas formas) que nos fuéramos, que había muchos bares, que le dejáramos de estrés que estábamos siendo pesadas porque estaban cerrando. Nos recalcaba que no tenia puesto el bar en google y que no sabía nada de un horario... Muy maleducado, no volveremos ni lo recomendaremos.
Comida: 1
Servicio: 1
Ambiente: 1

1

Compartir"
Elia López,9 reseñas,5 estrellas,"Totalmente recomendable. Venimos muy a menudo y el trato es estupendo. Os aseguro que con dos rondas salís comidos, cenados y recenados. No hay que olvidar que se trata de tapas que te ponen junto con la consumición, no se les puede pedir más… ya bastante ofrecen.",Hace un año,1-10 €,,,,,"Elia López
9 reseñas






Hace un año
Totalmente recomendable. Venimos muy a menudo y el trato es estupendo. Os aseguro que con dos rondas salís comidos, cenados y recenados. No hay que olvidar que se trata de tapas que te ponen junto con la consumición, no se les puede pedir más… ya bastante ofrecen.
Servicio
Comí allí
Precio por persona
1-10 €

Me gusta

Compartir"
Lamas,Local Guide · 135 reseñas,3 estrellas,"el trato fue asqueroso. la cerveza mala, muy mala. pero las tapas gratis abundantes y no estaban mal, aunque alguna mejor que otra, las bravas bien.  tuvimos que esperar cola porque el servicio de los camareros era muy lento.",Hace 8 meses,,,,,,"Lamas
Local Guide · 135 reseñas






Hace 8 meses
el trato fue asqueroso. la cerveza mala, muy mala. pero las tapas gratis abundantes y no estaban mal, aunque alguna mejor que otra, las bravas bien.  tuvimos que esperar cola porque el servicio de los camareros era muy lento.

Me gusta

Compartir"
Carmen Maria Martínez,5 reseñas · 2 fotos,1 estrella,"Trato pésimo. Los camareros son unos desagradecidos, se nota que van SOBRADOS en la gran ciudad. En el horario pone que abren a las 13:30 horas y han abierto a las 14:15 horas. La gente se ha acumulado y no había organización. Nos hemos sentado dos grupos totalmente desconocidos en una mesa por el bien de todos y aún encima dicen que éramos más de 6 personas y QUE ELLOS EN SU CASA PONEN LAS NORMAS QUE QUIEREN, QUE NOS SEPARARAMOS O NOS FUERAMOS!! Obviamente no quedaban mesas para todos.
No repito.",Hace 11 meses,1-10 €,2,1,1,,"Carmen Maria Martínez
5 reseñas · 2 fotos






Hace 11 meses
Trato pésimo. Los camareros son unos desagradecidos, se nota que van SOBRADOS en la gran ciudad. En el horario pone que abren a las 13:30 horas y han abierto a las 14:15 horas. La gente se ha acumulado y no había organización. Nos hemos sentado dos grupos totalmente desconocidos en una mesa por el bien de todos y aún encima dicen que éramos más de 6 personas y QUE ELLOS EN SU CASA PONEN LAS NORMAS QUE QUIEREN, QUE NOS SEPARARAMOS O NOS FUERAMOS!! Obviamente no quedaban mesas para todos.
No repito.
Precio por persona
1-10 €
Comida: 2
Servicio: 1
Ambiente: 1

1

Compartir"
Jesús Lérida,Local Guide · 33 reseñas · 7 fotos,5 estrellas,"La cerveza no sobresale, pero con unas tapas tan ricas y abundantes, sales prácticamente cenado.
El personal muy amable.",Hace 6 años,,,,,,"Jesús Lérida
Local Guide · 33 reseñas · 7 fotos






Hace 6 años
La cerveza no sobresale, pero con unas tapas tan ricas y abundantes, sales prácticamente cenado.
El personal muy amable.

Me gusta

Compartir"
jose manuel alvarez caballero,Local Guide · 184 reseñas · 258 fotos,4 estrellas,"Bar de barrio adaptado a los tiempos y el entorno. Con una fórmula de tapas incluidas en cada consumición.  Tapas generosas por cada consumición a partir de 2'90 su cerveza Ambar.
Buen sitio para casi comer a la hora del vermut o casi cenar a la hora del tarde o.
Mola.",Hace un año,1-10 €,3,3,3,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella","jose manuel alvarez caballero
Local Guide · 184 reseñas · 258 fotos






Hace un año
Bar de barrio adaptado a los tiempos y el entorno. Con una fórmula de tapas incluidas en cada consumición.  Tapas generosas por cada consumición a partir de 2'90 su cerveza Ambar.
Buen sitio para casi comer a la hora del vermut o casi cenar a la hora del tarde o.
Mola.
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
1-10 €
Comida: 3
Servicio: 3
Ambiente: 3
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella

Me gusta

Compartir"
Alba Lareo,Local Guide · 92 reseñas · 165 fotos,4 estrellas,"Es un buen lugar si quieres salir cenado con unas cuantas cañas o tintos, ya que te sirven tapas abundantes con la consumición. Eso sí, la calidad de las tapas es bastante pobre, por lo que lo recomiendo para ir a llenarte pero no para disfrutar de la comida. Suelen poner patatas con salsas, mini hamburguesas, empanadillas...",Hace un año,1-10 €,,,,,"Alba Lareo
Local Guide · 92 reseñas · 165 fotos






Hace un año
Es un buen lugar si quieres salir cenado con unas cuantas cañas o tintos, ya que te sirven tapas abundantes con la consumición. Eso sí, la calidad de las tapas es bastante pobre, por lo que lo recomiendo para ir a llenarte pero no para disfrutar de la comida. Suelen poner patatas con salsas, mini hamburguesas, empanadillas...
Servicio
Comí allí
Tipo de comida
Otro
Precio por persona
1-10 €

Me gusta

Compartir"
Jacobo Garcia Baonza,37 reseñas · 1 foto,3 estrellas,"Raciones abundantes y ricas pero para mí también es muy importante el personal.
Uno de los camareros (el rubio y joven) .. un antipático y un mal educado con todo el mundo. Sitios de comida buena en Madrid hay muchos así que la próxima vez iré a otro.",Hace un año,,,,,,"Jacobo Garcia Baonza
37 reseñas · 1 foto






Hace un año
Raciones abundantes y ricas pero para mí también es muy importante el personal.
Uno de los camareros (el rubio y joven) .. un antipático y un mal educado con todo el mundo. Sitios de comida buena en Madrid hay muchos así que la próxima vez iré a otro.

1

Compartir"
Patricia Martinez-Polo,Local Guide · 20 reseñas · 6 fotos,5 estrellas,"Sitio muy agradable, las tapas están muy buenas y son grandes cantidades, es autoservicio y mesas máximo para 6 personas, recomiendo ir con tiempo porque se llena rápido",Hace 11 meses,1-10 €,,,,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapas Y Cervezas","Patricia Martinez-Polo
Local Guide · 20 reseñas · 6 fotos






Hace 11 meses
Sitio muy agradable, las tapas están muy buenas y son grandes cantidades, es autoservicio y mesas máximo para 6 personas, recomiendo ir con tiempo porque se llena rápido
Precio por persona
1-10 €
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapas Y Cervezas

Me gusta

Compartir"
Pablo Fuster,4 reseñas,3 estrellas,"Comida muy buena, servicio y ambiente muy mejorables, camarero agresivo",Hace 2 meses,1-10 €,5,1,2,,"Pablo Fuster
4 reseñas






Hace 2 meses
Comida muy buena, servicio y ambiente muy mejorables, camarero agresivo
Precio por persona
1-10 €
Comida: 5
Servicio: 1
Ambiente: 2

Me gusta

Compartir"
Patricia Fernández,Local Guide · 35 reseñas · 14 fotos,5 estrellas,"La bebida cuesta lo que suele costar tomarse algo en Madrid. El aperitivo que te ponen es muy grande y por 2-3 cervezas sales comido.
No es que sea algo súper elaborado, a nosotros nos pusieron unas patatas, croquetas, empanadillas, sándwich mixto y una especie de paella. Pero todo estaba bueno.
Recomendable 👌🏻",Hace un año,1-10 €,,,,,"Patricia Fernández
Local Guide · 35 reseñas · 14 fotos






Hace un año
La bebida cuesta lo que suele costar tomarse algo en Madrid. El aperitivo que te ponen es muy grande y por 2-3 cervezas sales comido.
No es que sea algo súper elaborado, a nosotros nos pusieron unas patatas, croquetas, empanadillas, sándwich mixto y una especie de paella. Pero todo estaba bueno.
Recomendable 👌🏻
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
1-10 €

Me gusta

Compartir"
Alonso Quijada,Local Guide · 158 reseñas · 657 fotos,1 estrella,"Sábado noche. Fui con seis amigos. La terraza estaba llena, pero en el interior, la barra totalmente vacía. Sin embargo, había personas haciendo cola. Empecé a preguntar al camarero si la cola era solo para pedir comida o si para tomar unas cañas podíamos quedarnos en la barra. Antes de que pudiera terminar mi pregunta, me dijo muy borde que me pusiera a la cola como todo el mundo.
Al margen de la rareza de tener que hacer cola en lugar de esperar en la barra como es habitual (que oye, cda uno impone las normas que quiere en su negocio, es repetable), hay oficios que exigen un mínimo de educación con el cliente y el de camarero es uno de ellos.
Seguramente las tapas son geniales como dicen la mayoría denlas reseña, pero evidentemente no llegamos a probarlas. En el barrio hay decenas de bares que también están muy bien y donde te tratan con amabilidad.",Hace un año,,,1,,,"Alonso Quijada
Local Guide · 158 reseñas · 657 fotos






Hace un año
Sábado noche. Fui con seis amigos. La terraza estaba llena, pero en el interior, la barra totalmente vacía. Sin embargo, había personas haciendo cola. Empecé a preguntar al camarero si la cola era solo para pedir comida o si para tomar unas cañas podíamos quedarnos en la barra. Antes de que pudiera terminar mi pregunta, me dijo muy borde que me pusiera a la cola como todo el mundo.
Al margen de la rareza de tener que hacer cola en lugar de esperar en la barra como es habitual (que oye, cda uno impone las normas que quiere en su negocio, es repetable), hay oficios que exigen un mínimo de educación con el cliente y el de camarero es uno de ellos.
Seguramente las tapas son geniales como dicen la mayoría denlas reseña, pero evidentemente no llegamos a probarlas. En el barrio hay decenas de bares que también están muy bien y donde te tratan con amabilidad.
Servicio: 1

3

Compartir"
Luis Blanco,1 reseña,1 estrella,"Llegamos a las 10:30 y para empezar un camarero de forma brusca nos dijo que nos apartamos de su camino y al momento preguntamos a otro camarero por la carta de las raciones y nos dijo que la cocina estaba cerrada con unos modales pésimos y sin educación, experiencia lamentable, ni recomendable si quieres un trato cordial",Hace 11 meses,,1,1,1,,"Luis Blanco
1 reseña






Hace 11 meses
Llegamos a las 10:30 y para empezar un camarero de forma brusca nos dijo que nos apartamos de su camino y al momento preguntamos a otro camarero por la carta de las raciones y nos dijo que la cocina estaba cerrada con unos modales pésimos y sin educación, experiencia lamentable, ni recomendable si quieres un trato cordial
Comida: 1
Servicio: 1
Ambiente: 1

1

Compartir"
Víctor Pascual,Local Guide · 42 reseñas,4 estrellas,"Muy buenas tapas con la bebida. Excelente. La única pega es que el horario de apertura no coincidía con el indicado y tuvimos que esperar un rato de pie. Por lo demás, todo bien.",Hace un año,1-10 €,5,3,4,,"Víctor Pascual
Local Guide · 42 reseñas






Hace un año
Muy buenas tapas con la bebida. Excelente. La única pega es que el horario de apertura no coincidía con el indicado y tuvimos que esperar un rato de pie. Por lo demás, todo bien.
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
1-10 €
Comida: 5
Servicio: 3
Ambiente: 4

Me gusta

Compartir"
Antonio G.M.,Local Guide · 26 reseñas · 20 fotos,1 estrella,"Los camareros bastante groseros. A un muchachito que  teníamos delante Le metió una bronca el camarero que flipas. Mucha tapa pero poca calidad. No perdáis el tiempo en ir, hay sitios mejores por la zona.",Hace un año,1-10 €,1,1,1,,"Antonio G.M.
Local Guide · 26 reseñas · 20 fotos






Hace un año
Los camareros bastante groseros. A un muchachito que  teníamos delante Le metió una bronca el camarero que flipas. Mucha tapa pero poca calidad. No perdáis el tiempo en ir, hay sitios mejores por la zona.
Precio por persona
1-10 €
Comida: 1
Servicio: 1
Ambiente: 1

2

Compartir"
